Name,Thickness,Thickness Position,Camber,Camber Positionkc135a,49.162766,64.139,-26.075096,64.139
fx3,2.332395,1.769,0.308394,1.769
fx38153,11.611057,1.0,1.142244,9.03
fx60100,47.409882,9.939,17.816107,9.939
fx601001,1.82938,1.381,0.257371,1.381
fx60100sm,0.099818,0.279,0.034775,0.565
fx601261,25.216499,28.887,8.24171,28.887
fx60157,12.431531,1.0,1.205908,9.693
fx60160,3.017748,2.37,-1.097349,19.0
fx60177,12.828466,1.0,1.237937,10.015
fx61140,33.678967,21.437,11.276991,21.437
fx61163,11.43364,1.0,1.130795,8.883
fx61184,35.641563,19.387,11.513322,19.387
fx62k131,11.47167,1.0,1.13671,8.908
fx63100,3.310988,2.531,-1.289631,18.0
fx63110,3.446027,2.648,-1.364622,18.0
fx63120,3.503574,2.807,-1.369837,18.0
fx63137sm,0.136763,0.308,0.058335,0.565
fx63143,11.344496,1.0,1.123689,8.812
fx63145,42.655144,14.046,15.702721,14.046
fx63147,10.920964,1.0,1.088266,8.486
fx63158,35.880577,19.32,11.855797,19.32
fx6617a2,59.760696,-5.267,24.607397,-5.267
fx6617ai,35.297661,7.201,14.120037,7.201
fx66182,10.545905,1.0,1.057983,8.314
fx66196v,52.862358,0.395,21.132891,0.395
fx66a175,9.638688,1.0,0.986957,7.589
fx66h60,0.06017,0.222,0.01673,0.17
fx66h80,0.08002,0.279,0.024611,0.25
fx66s161,10.124676,1.0,1.025306,7.975
fx66s171,10.27868,1.0,1.0373,8.099
fx66s196,64.08873,-8.978,26.652109,-8.978
fx67k150,9.655897,1.0,0.9888,7.601
fx67k170,93.781525,121.393,-52.208469,121.393
fx68h120,0.11807,0.25,0.023102,0.339
fx69274,0.274141,0.339,0.03167,0.371
fx69h083,9.478797,19.828,3.729662,19.828
fx69h098,20.315508,7.025,8.612283,7.025
fx69pr281,0.281336,0.222,0.0554,0.5
fx71089a,10.230991,1.0,1.031851,8.092
fx71120,10.006956,8.281,-5.21915,43.0
fx711520,10.982286,1.0,1.086967,8.677
fx711525,11.030934,1.0,1.091322,8.716
fx711530,194.852524,205.582,-102.959969,205.582
fx71l150,194.852524,205.582,-102.959969,205.582
fx72150b,10.520277,1.0,1.055246,8.295
fx72ls160,0.160116,0.371,0.082744,0.435
fx73170,0.170901,0.435,0.043632,0.565
fx73170a,0.17112,0.435,0.056299,0.435
fx73cl1152,0.15218,0.222,0.060875,0.339
fx73cl2152,0.152172,0.222,0.066228,0.435
fx73cl3152,0.152171,0.222,0.080074,0.435
fx73k170,0.170781,0.402,0.045839,0.565
fx74080,0.08151,0.435,0.043088,0.467
fx74130wp1,0.13013,0.467,0.0381,0.5
fx74130wp2,0.1299,0.435,0.039329,0.467
fx74130wp2mod,0.12913,0.435,0.038733,0.435
fx74cl5140,0.140492,0.308,0.098027,0.371
fx74cl6140,0.140539,0.309,0.071436,0.339
fx74modsm,0.130827,0.271,0.097277,0.416
