Name,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
ah21,10.5,0.5168,0.11872,0.10071,-0.0503,1.0,1.0
ah21,11.0,0.533,0.12646,0.10882,-0.0538,1.0,1.0
ah21,11.5,0.55,0.13411,0.11659,-0.0573,1.0,1.0
ah21,12.0,0.5674,0.14174,0.12434,-0.0608,1.0,1.0
ah21,12.5,0.5854,0.14931,0.13201,-0.0643,1.0,1.0
ah21,13.0,0.6038,0.15687,0.13967,-0.0678,1.0,1.0
ah21,13.5,0.6224,0.1644,0.14731,-0.0713,1.0,1.0
ah21,14.0,0.6413,0.17188,0.1549,-0.0749,1.0,1.0
ah21,14.5,0.6604,0.17938,0.1625,-0.0785,1.0,1.0
ah21,15.0,0.6796,0.18689,0.17011,-0.0822,1.0,1.0
ah21,15.5,0.7215,0.20085,0.18432,-0.0919,0.9695,1.0
ah21,16.0,0.7612,0.21152,0.19522,-0.1004,0.9182,1.0
ah21,16.5,0.7945,0.22217,0.20639,-0.1067,0.877,1.0
ah21,17.0,0.8236,0.23089,0.21524,-0.1116,0.8368,1.0
ah21,17.5,0.8514,0.23969,0.22417,-0.116,0.797,1.0
ah21,18.0,0.8771,0.24772,0.23234,-0.1198,0.7583,1.0
ah21,18.5,0.8992,0.25394,0.23863,-0.1229,0.7218,1.0
ah21,19.0,0.9226,0.26166,0.24641,-0.1261,0.6852,1.0
ah21,19.5,0.9461,0.26977,0.2546,-0.1291,0.6462,1.0
ah21,20.0,0.9688,0.27784,0.26272,-0.1319,0.607,1.0
ah21,20.5,0.9939,0.2889,0.27385,-0.135,0.5706,1.0
ah21,21.0,1.0117,0.29454,0.27979,-0.1377,0.5426,1.0
ah21,21.5,1.0314,0.30242,0.28773,-0.1407,0.5163,1.0
ah21,22.0,1.0492,0.30874,0.29412,-0.1437,0.4915,1.0
ah21,22.5,1.0641,0.31268,0.29808,-0.1468,0.4699,1.0
ah21,23.0,1.0834,0.32176,0.30722,-0.15,0.4487,1.0
ah21,23.5,1.0981,0.32573,0.31124,-0.1534,0.4286,1.0
ah21,24.0,1.1176,0.33611,0.32168,-0.1567,0.4095,1.0
ah21,24.5,1.1305,0.33855,0.32416,-0.1604,0.3928,1.0
ah21,25.0,1.1456,0.34399,0.32967,-0.1639,0.375,1.0
ah21,25.5,1.1637,0.35413,0.34007,-0.1674,0.357,1.0
ah21,26.0,1.1776,0.3589,0.34487,-0.1712,0.3419,1.0
ah21,26.5,1.1904,0.36254,0.34857,-0.1751,0.3272,1.0
ah21,27.0,1.2038,0.36721,0.35332,-0.1791,0.313,1.0
ah21,27.5,1.2175,0.37272,0.35891,-0.1831,0.2999,1.0
ah21,28.0,1.2314,0.3795,0.36578,-0.1871,0.2878,1.0
ah21,28.5,1.2462,0.3885,0.37488,-0.191,0.276,1.0
ah21,29.0,1.2558,0.38782,0.37439,-0.1958,0.2663,1.0
ah21,29.5,1.2672,0.3918,0.37844,-0.2003,0.2579,1.0
ah21,30.0,1.2811,0.40117,0.38794,-0.2044,0.2485,1.0
ah6407,0.0,0.1449,0.04115,0.02711,-0.0567,1.0,0.9205
